uniprot_id	protein_name	reviewed	ec_in_uniprot	rxn_id_in_uniprot	rxn_equation_in_uniprot	gene_id_bigg	RXNRECer	RXNRECer_with_prob	ECRECer_equations
P23883	NADP/NAD-dependent aldehyde dehydrogenase PuuC (ALDH) (EC 1.2.1.5) (3-hydroxypropionaldehyde dehydrogenase) (Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase) (Gamma-Glu-gamma-aminobutyraldehyde dehydrogenase)	reviewed	1.2.1.5	RHEA:11888;RHEA:16185;RHEA:28410;RHEA:42340	['4-(gamma-L-glutamylamino)butanal + H2O + NADP(+) = 4-(gamma-L-glutamylamino)butanoate + 2 H(+) + NADPH', '4-(gamma-L-glutamylamino)butanal + H2O + NAD(+) = 4-(gamma-L-glutamylamino)butanoate + 2 H(+) + NADH', 'an aldehyde + H2O + NADP(+) = a carboxylate + 2 H(+) + NADPH', 'an aldehyde + H2O + NAD(+) = a carboxylate + 2 H(+) + NADH']	b1300	RHEA:28410;RHEA:16185;RHEA:42340;RHEA:11888	{'RHEA:28410': 1.0, 'RHEA:16185': 1.0, 'RHEA:42340': 1.0, 'RHEA:11888': 1.0}	['4-(gamma-L-glutamylamino)butanal + H2O + NADP(+) = 4-(gamma-L-glutamylamino)butanoate + 2 H(+) + NADPH', '4-(gamma-L-glutamylamino)butanal + H2O + NAD(+) = 4-(gamma-L-glutamylamino)butanoate + 2 H(+) + NADH', 'an aldehyde + H2O + NADP(+) = a carboxylate + 2 H(+) + NADPH', 'an aldehyde + H2O + NAD(+) = a carboxylate + 2 H(+) + NADH']
P37617	Zinc/cadmium/lead-transporting P-type ATPase (EC 7.2.2.-) (EC 7.2.2.12) (EC 7.2.2.21) (Pb(II)/Cd(II)/Zn(II)-translocating ATPase) (Zn(2+)/Cd(2+)/Pb(2+) export ATPase)	reviewed	7.2.2.-;7.2.2.12;7.2.2.21	RHEA:52580;RHEA:20621;RHEA:12132	['ATP + H2O + Pb(2+)(in) = ADP + H(+) + Pb(2+)(out) + phosphate', 'ATP + Cd(2+)(in) + H2O = ADP + Cd(2+)(out) + H(+) + phosphate', 'ATP + H2O + Zn(2+)(in) = ADP + H(+) + phosphate + Zn(2+)(out)']	b3469	RHEA:20621;RHEA:12132;RHEA:52580	{'RHEA:20621': 1.0, 'RHEA:12132': 1.0, 'RHEA:52580': 1.0}	['ATP + H2O + Pb(2+)(in) = ADP + H(+) + Pb(2+)(out) + phosphate', 'ATP + Cd(2+)(in) + H2O = ADP + Cd(2+)(out) + H(+) + phosphate', 'ATP + H2O + Zn(2+)(in) = ADP + H(+) + phosphate + Zn(2+)(out)']
P37624	Ribosome-associated ATPase (Ribosomal bound ATPase)	reviewed	-	-	-	b3486	-	{'-': 1.0}	-
P31554	LPS-assembly protein LptD (Organic solvent tolerance protein)	reviewed	-	-	-	b0054	-	{'-': 1.0}	-
P0AB58	Lipopolysaccharide assembly protein B (Lipopolysaccharide regulatory protein)	reviewed	-	-	-	b1280	-	{'-': 1.0}	-
P77214	Cation efflux system protein CusF	reviewed	-	-	-	b0573	-	{'-': 1.0}	-
P31658	Protein/nucleic acid deglycase 1 (EC 3.1.2.-) (EC 3.5.1.-) (EC 3.5.1.124) (Glyoxalase III) (EC 4.2.1.130) (Holding molecular chaperone) (Hsp31) (Maillard deglycase)	reviewed	3.1.2.-;3.5.1.-;3.5.1.124;4.2.1.130	RHEA:27754;RHEA:49548;RHEA:49552;RHEA:49556;RHEA:57188;RHEA:57192;RHEA:57196;RHEA:57244;RHEA:57256;RHEA:57260;RHEA:57268;RHEA:57248;RHEA:57252;RHEA:57264;RHEA:57304;RHEA:57288;RHEA:57300;RHEA:57292;RHEA:57296	"['H2O + methylglyoxal = (R)-lactate + H(+)', 'H2O + N(omega)-(1-hydroxy-2-oxopropyl)-L-arginyl-[protein] = H(+) + L-arginyl-[protein] + lactate', 'H2O + N(6)-(1-hydroxy-2-oxopropyl)-L-lysyl-[protein] = H(+) + L-lysyl-[protein] + lactate', 'H2O + S-(1-hydroxy-2-oxopropyl)-L-cysteinyl-[protein] = H(+) + L-cysteinyl-[protein] + lactate', 'H2O + N(omega)-(1-hydroxy-2-oxoethyl)-L-arginyl-[protein] = glycolate + H(+) + L-arginyl-[protein]', 'H2O + N(6)-(1-hydroxy-2-oxoethyl)-L-lysyl-[protein] = glycolate + H(+) + L-lysyl-[protein]', 'H2O + S-(1-hydroxy-2-oxoethyl)-L-cysteinyl-[protein] = glycolate + H(+) + L-cysteinyl-[protein]', 'H2O + N(2)-(1-hydroxy-2-oxopropyl)-dGTP = dGTP + H(+) + lactate', 'H2O + N(2)-(1-hydroxy-2-oxoethyl)-dGTP = dGTP + glycolate + H(+)', 'H2O + N(2)-(1-hydroxy-2-oxoethyl)-GTP = glycolate + GTP + H(+)', 'H2O + N(2)-(1-hydroxy-2-oxopropyl)-GTP = GTP + H(+) + lactate', 'H2O + N(2)-(1-hydroxy-2-oxopropyl)-GDP = GDP + H(+) + lactate', 'H2O + N(2)-(1-hydroxy-2-oxoethyl)-GDP = GDP + glycolate + H(+)', 'H2O + N(2)-(1-hydroxy-2-oxopropyl)-GMP = GMP + H(+) + lactate', 'an N(2)-(1-hydroxy-2-oxopropyl)-guanosine in RNA + H2O = a guanosine in RNA + H(+) + lactate', 'an N(2)-(1-hydroxy-2-oxoethyl)-guanosine in RNA + H2O = a guanosine in RNA + glycolate + H(+)', ""an N(2)-(1-hydroxy-2-oxoethyl)-2'-deoxyguanosine in DNA + H2O = a 2'-deoxyguanosine in DNA + glycolate + H(+)"", ""an N(2)-(1-hydroxy-2-oxopropyl)-2'-deoxyguanosine in DNA + H2O = a 2'-deoxyguanosine in DNA + H(+) + lactate"", 'H2O + N(2)-(1-hydroxy-2-oxoethyl)-GMP = glycolate + GMP + H(+)']"	b1967	RHEA:57192;RHEA:57252;RHEA:57188;RHEA:57196;RHEA:57300;RHEA:57260;RHEA:57292;RHEA:57268;RHEA:57256;RHEA:57296;RHEA:49556;RHEA:57288;RHEA:57264;RHEA:57304;RHEA:49552;RHEA:49548;RHEA:57248;RHEA:57244	{'RHEA:57192': 1.0, 'RHEA:57252': 1.0, 'RHEA:57188': 1.0, 'RHEA:57196': 1.0, 'RHEA:57300': 1.0, 'RHEA:57260': 1.0, 'RHEA:57292': 1.0, 'RHEA:57268': 1.0, 'RHEA:57256': 1.0, 'RHEA:57296': 1.0, 'RHEA:49556': 1.0, 'RHEA:57288': 1.0, 'RHEA:57264': 1.0, 'RHEA:57304': 1.0, 'RHEA:49552': 1.0, 'RHEA:49548': 1.0, 'RHEA:57248': 1.0, 'RHEA:57244': 1.0}	"['H2O + N(omega)-(1-hydroxy-2-oxopropyl)-L-arginyl-[protein] = H(+) + L-arginyl-[protein] + lactate', 'H2O + N(6)-(1-hydroxy-2-oxopropyl)-L-lysyl-[protein] = H(+) + L-lysyl-[protein] + lactate', 'H2O + S-(1-hydroxy-2-oxopropyl)-L-cysteinyl-[protein] = H(+) + L-cysteinyl-[protein] + lactate', 'H2O + N(omega)-(1-hydroxy-2-oxoethyl)-L-arginyl-[protein] = glycolate + H(+) + L-arginyl-[protein]', 'H2O + N(6)-(1-hydroxy-2-oxoethyl)-L-lysyl-[protein] = glycolate + H(+) + L-lysyl-[protein]', 'H2O + S-(1-hydroxy-2-oxoethyl)-L-cysteinyl-[protein] = glycolate + H(+) + L-cysteinyl-[protein]', 'H2O + N(2)-(1-hydroxy-2-oxopropyl)-dGTP = dGTP + H(+) + lactate', 'H2O + N(2)-(1-hydroxy-2-oxoethyl)-dGTP = dGTP + glycolate + H(+)', 'H2O + N(2)-(1-hydroxy-2-oxoethyl)-GTP = glycolate + GTP + H(+)', 'H2O + N(2)-(1-hydroxy-2-oxopropyl)-GTP = GTP + H(+) + lactate', 'H2O + N(2)-(1-hydroxy-2-oxopropyl)-GDP = GDP + H(+) + lactate', 'H2O + N(2)-(1-hydroxy-2-oxoethyl)-GDP = GDP + glycolate + H(+)', 'H2O + N(2)-(1-hydroxy-2-oxopropyl)-GMP = GMP + H(+) + lactate', 'an N(2)-(1-hydroxy-2-oxopropyl)-guanosine in RNA + H2O = a guanosine in RNA + H(+) + lactate', 'an N(2)-(1-hydroxy-2-oxoethyl)-guanosine in RNA + H2O = a guanosine in RNA + glycolate + H(+)', ""an N(2)-(1-hydroxy-2-oxoethyl)-2'-deoxyguanosine in DNA + H2O = a 2'-deoxyguanosine in DNA + glycolate + H(+)"", ""an N(2)-(1-hydroxy-2-oxopropyl)-2'-deoxyguanosine in DNA + H2O = a 2'-deoxyguanosine in DNA + H(+) + lactate"", 'H2O + N(2)-(1-hydroxy-2-oxoethyl)-GMP = glycolate + GMP + H(+)']"
P25522	tRNA modification GTPase MnmE (EC 3.6.-.-)	reviewed	3.6.-.-	-	-	b3706	-	{'-': 0.999995}	-
P37689	2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (iPGM) (EC 5.4.2.12)	reviewed	5.4.2.12	RHEA:15901	['(2R)-2-phosphoglycerate = (2R)-3-phosphoglycerate']	b3612	RHEA:15901	{'RHEA:15901': 1.0}	['(2R)-2-phosphoglycerate = (2R)-3-phosphoglycerate']
P77671	Allantoinase (EC 3.5.2.5) (Allantoin-utilizing enzyme)	reviewed	3.5.2.5	RHEA:17029	['(S)-allantoin + H2O = allantoate + H(+)']	b0512	RHEA:17029	{'RHEA:17029': 1.0}	['(S)-allantoin + H2O = allantoate + H(+)']
P77211	Cation efflux system protein CusC	reviewed	-	-	-	b0572	-	{'-': 1.0}	-
P27550	Acetyl-coenzyme A synthetase (AcCoA synthetase) (Acs) (EC 6.2.1.1) (Acetate--CoA ligase) (Acyl-activating enzyme)	reviewed	6.2.1.1	RHEA:23176	['acetate + ATP + CoA = acetyl-CoA + AMP + diphosphate']	b4069	RHEA:23176	{'RHEA:23176': 1.0}	['acetate + ATP + CoA = acetyl-CoA + AMP + diphosphate']
P33644	Purine nucleoside phosphorylase YfiH (EC 2.4.2.1) (Adenosine deaminase YfiH) (EC 3.5.4.4) (Polyphenol oxidase YfiH) (EC 1.10.3.-) (S-methyl-5'-thioadenosine phosphorylase YfiH) (EC 2.4.2.28)	reviewed	1.10.3.-;2.4.2.1;2.4.2.28;3.5.4.4	RHEA:27642;RHEA:11852;RHEA:27646;RHEA:24408	"['adenosine + H(+) + H2O = inosine + NH4(+)', 'adenosine + phosphate = adenine + alpha-D-ribose 1-phosphate', 'inosine + phosphate = alpha-D-ribose 1-phosphate + hypoxanthine', ""phosphate + S-methyl-5'-thioadenosine = adenine + S-methyl-5-thio-alpha-D-ribose 1-phosphate""]"	b2593	RHEA:27646;RHEA:27642;RHEA:24408;RHEA:11852	{'RHEA:27646': 1.0, 'RHEA:27642': 1.0, 'RHEA:24408': 1.0, 'RHEA:11852': 1.0}	"['adenosine + H(+) + H2O = inosine + NH4(+)', 'adenosine + phosphate = adenine + alpha-D-ribose 1-phosphate', 'inosine + phosphate = alpha-D-ribose 1-phosphate + hypoxanthine', ""phosphate + S-methyl-5'-thioadenosine = adenine + S-methyl-5-thio-alpha-D-ribose 1-phosphate""]"
P27828	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) (Bacteriophage N4 adsorption protein C) (UDP-GlcNAc-2-epimerase)	reviewed	5.1.3.14	RHEA:17213	['UDP-N-acetyl-alpha-D-glucosamine = UDP-N-acetyl-alpha-D-mannosamine']	b3786	RHEA:17213	{'RHEA:17213': 1.0}	['UDP-N-acetyl-alpha-D-glucosamine = UDP-N-acetyl-alpha-D-mannosamine']
P21829	Pyridoxal phosphate phosphatase YbhA (PLP phosphatase) (EC 3.1.3.74)	reviewed	3.1.3.74	RHEA:20533	"[""H2O + pyridoxal 5'-phosphate = phosphate + pyridoxal""]"	b0766	RHEA:20533;RHEA:25112;RHEA:25135	{'RHEA:20533': 1.0, 'RHEA:25112': 0.7777, 'RHEA:25135': 0.7777}	"[""H2O + pyridoxine 5'-phosphate = phosphate + pyridoxine"", ""phosphate + pyridoxamine = H2O + pyridoxamine 5'-phosphate"", ""H2O + pyridoxal 5'-phosphate = phosphate + pyridoxal""]"
P37002	Fluoride-specific ion channel FluC (Fluoride exporter)	reviewed	-	RHEA:76159	['fluoride(in) = fluoride(out)']	b0624	RHEA:76159	{'RHEA:76159': 1.0}	['fluoride(in) = fluoride(out)']
P76621	Glutarate 2-hydroxylase (G-2-H) (EC 1.14.11.64) (Carbon starvation induced protein D)	reviewed	1.14.11.64	RHEA:13821	['2-oxoglutarate + glutarate + O2 = (S)-2-hydroxyglutarate + CO2 + succinate']	b2659	RHEA:13821	{'RHEA:13821': 1.0}	['2-oxoglutarate + glutarate + O2 = (S)-2-hydroxyglutarate + CO2 + succinate']
P39286	Small ribosomal subunit biogenesis GTPase RsgA (EC 3.6.1.-)	reviewed	3.6.1.-	-	-	b4161	-	{'-': 0.999776}	-
P76129	Oxygen sensor protein DosP (EC 3.1.4.52) (Direct oxygen-sensing phosphodiesterase) (Direct oxygen sensor protein) (Ec DOS) (Heme-regulated cyclic di-GMP phosphodiesterase)	reviewed	3.1.4.52	RHEA:24902	"[""3',3'-c-di-GMP + H2O = 5'-phosphoguanylyl(3'->5')guanosine + H(+)""]"	b1489	RHEA:24902	{'RHEA:24902': 1.0}	"[""3',3'-c-di-GMP + H2O = 5'-phosphoguanylyl(3'->5')guanosine + H(+)""]"
P37339	L-2-hydroxyglutarate dehydrogenase (L2HG dehydrogenase) (EC 1.1.5.13) (L2HG:quinone oxidoreductase)	reviewed	1.1.5.13	RHEA:58664	['(S)-2-hydroxyglutarate + a quinone = 2-oxoglutarate + a quinol']	b2660	RHEA:58664;RHEA:21252	{'RHEA:58664': 1.0, 'RHEA:21252': 0.893567}	['(S)-2-hydroxyglutarate + a quinone = 2-oxoglutarate + a quinol', '(S)-2-hydroxyglutarate + A = 2-oxoglutarate + AH2']
P23886	Glutathione/L-cysteine transport system ATP-binding/permease protein CydC (EC 7.4.2.-)	reviewed	7.4.2.-	RHEA:29783;RHEA:29787	['ATP + H2O + L-cysteine(in) = ADP + H(+) + L-cysteine(out) + phosphate', 'ATP + glutathione(in) + H2O = ADP + glutathione(out) + H(+) + phosphate']	b0886	RHEA:29787;RHEA:29783	{'RHEA:29787': 1.0, 'RHEA:29783': 1.0}	['ATP + H2O + L-cysteine(in) = ADP + H(+) + L-cysteine(out) + phosphate', 'ATP + glutathione(in) + H2O = ADP + glutathione(out) + H(+) + phosphate']
P05852	tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (N6-L-threonylcarbamoyladenine synthase) (t(6)A synthase) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaD) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaD)	reviewed	2.3.1.234	RHEA:37059	['adenosine(37) in tRNA + L-threonylcarbamoyladenylate = AMP + H(+) + N(6)-L-threonylcarbamoyladenosine(37) in tRNA']	b3064	RHEA:37059	{'RHEA:37059': 1.0}	['adenosine(37) in tRNA + L-threonylcarbamoyladenylate = AMP + H(+) + N(6)-L-threonylcarbamoyladenosine(37) in tRNA']
P38489	Oxygen-insensitive NAD(P)H nitroreductase (EC 1.-.-.-) (Dihydropteridine reductase) (EC 1.5.1.34) (FMN-dependent nitroreductase)	reviewed	1.-.-.-;1.5.1.34	RHEA:17869;RHEA:17865	['5,6,7,8-tetrahydropteridine + NADP(+) = 6,7-dihydropteridine + H(+) + NADPH', '5,6,7,8-tetrahydropteridine + NAD(+) = 6,7-dihydropteridine + H(+) + NADH']	b0578	RHEA:17869;RHEA:17865	{'RHEA:17869': 1.0, 'RHEA:17865': 1.0}	['5,6,7,8-tetrahydropteridine + NADP(+) = 6,7-dihydropteridine + H(+) + NADPH', '5,6,7,8-tetrahydropteridine + NAD(+) = 6,7-dihydropteridine + H(+) + NADH']
P37595	Isoaspartyl peptidase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (EcAIII) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase subunit alpha; Isoaspartyl peptidase subunit beta]	reviewed	3.4.19.5	-	-	b0828	RHEA:21016	{'RHEA:21016': 0.997006}	['H2O + L-asparagine = L-aspartate + NH4(+)']
P37025	RNA 2',3'-cyclic phosphodiesterase (RNA 2',3'-CPDase) (EC 3.1.4.58) (Two-histidine 2',3'-cyclic phosphodiesterase acting on RNA)	reviewed	3.1.4.58	RHEA:11828	"[""a 3'-end 2',3'-cyclophospho-ribonucleotide-RNA + H2O = a 3'-end 2'-phospho-ribonucleotide-RNA + H(+)""]"	b0147	RHEA:11828	{'RHEA:11828': 1.0}	"[""a 3'-end 2',3'-cyclophospho-ribonucleotide-RNA + H2O = a 3'-end 2'-phospho-ribonucleotide-RNA + H(+)""]"
P76594	Peptidyl-lysine N-acetyltransferase PatZ (EC 2.3.1.-) (Protein lysine acetyltransferase)	reviewed	2.3.1.-	RHEA:45948	['acetyl-CoA + L-lysyl-[protein] = CoA + H(+) + N(6)-acetyl-L-lysyl-[protein]']	b2584	RHEA:45948	{'RHEA:45948': 1.0}	['acetyl-CoA + L-lysyl-[protein] = CoA + H(+) + N(6)-acetyl-L-lysyl-[protein]']
P37340	Multidrug resistance protein MdtK (Multidrug-efflux transporter)	reviewed	-	-	-	b1663	-	{'-': 1.0}	-
P37613	PanD regulatory factor	reviewed	-	-	-	b3459	-	{'-': 1.0}	-
P37001	Lipid A palmitoyltransferase PagP (EC 2.3.1.251) (Lipid A acylation protein)	reviewed	2.3.1.251	RHEA:46864;RHEA:46872;RHEA:46868	['1-hexadecanoyl-2-acyl-sn-glycero-3-phosphocholine + lipid A (E. coli) = a 2-acyl-sn-glycero-3-phosphocholine + hepta-acyl lipid A', '1-hexadecanoyl-2-acyl-sn-glycero-3-phosphocholine + lipid IVA (E. coli) = a 2-acyl-sn-glycero-3-phosphocholine + lipid IVB (E. coli)', '1-hexadecanoyl-2-acyl-sn-glycero-3-phosphocholine + lipid IIA = a 2-acyl-sn-glycero-3-phosphocholine + lipid IIB']	b0622	RHEA:46872;RHEA:46864;RHEA:46868;RHEA:74279;RHEA:74283;RHEA:74275	{'RHEA:46872': 1.0, 'RHEA:46864': 1.0, 'RHEA:46868': 1.0, 'RHEA:74279': 0.7777, 'RHEA:74283': 0.7777, 'RHEA:74275': 0.7777}	['1-hexadecanoyl-2-acyl-sn-glycero-3-phosphocholine + lipid A (E. coli) = a 2-acyl-sn-glycero-3-phosphocholine + hepta-acyl lipid A', '1-hexadecanoyl-2-acyl-sn-glycero-3-phosphocholine + lipid IVA (E. coli) = a 2-acyl-sn-glycero-3-phosphocholine + lipid IVB (E. coli)', '1-hexadecanoyl-2-acyl-sn-glycero-3-phosphocholine + lipid IIA = a 2-acyl-sn-glycero-3-phosphocholine + lipid IIB', 'a 1,2-diacyl-sn-glycero-3-phosphocholine + a lipid A = a 2-acyl-sn-glycero-3-phosphocholine + a hepta-acyl lipid A', 'a 1,2-diacyl-sn-glycero-3-phosphocholine + a lipid IVA = a 2-acyl-sn-glycero-3-phosphocholine + a lipid IVB', 'a 1,2-diacyl-sn-glycero-3-phosphocholine + a lipid IIA = a 2-acyl-sn-glycero-3-phosphocholine + a lipid IIB']
P45748	Threonylcarbamoyl-AMP synthase (TC-AMP synthase) (EC 2.7.7.87) (L-threonylcarbamoyladenylate synthase) (Ribosome maturation factor TsaC) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaC) (tRNA threonylcarbamoyladenosine biosynthesis protein TsaC)	reviewed	2.7.7.87	RHEA:36407	['ATP + hydrogencarbonate + L-threonine = diphosphate + H2O + L-threonylcarbamoyladenylate']	b3282	RHEA:36407	{'RHEA:36407': 1.0}	['ATP + hydrogencarbonate + L-threonine = diphosphate + H2O + L-threonylcarbamoyladenylate']
P17993	Ubiquinone biosynthesis O-methyltransferase (2-octaprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone-8 3-O-methyltransferase) (EC 2.1.1.64)	reviewed	2.1.1.222;2.1.1.64	RHEA:44380;RHEA:31411	['a 3-(all-trans-polyprenyl)benzene-1,2-diol + S-adenosyl-L-methionine = a 2-methoxy-6-(all-trans-polyprenyl)phenol + H(+) + S-adenosyl-L-homocysteine', 'a 3-demethylubiquinol + S-adenosyl-L-methionine = a ubiquinol + H(+) + S-adenosyl-L-homocysteine']	b2232	RHEA:44380;RHEA:31411	{'RHEA:44380': 1.0, 'RHEA:31411': 1.0}	['a 3-(all-trans-polyprenyl)benzene-1,2-diol + S-adenosyl-L-methionine = a 2-methoxy-6-(all-trans-polyprenyl)phenol + H(+) + S-adenosyl-L-homocysteine', 'a 3-demethylubiquinol + S-adenosyl-L-methionine = a ubiquinol + H(+) + S-adenosyl-L-homocysteine']
